ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.PRL_Simulation	prl-simulation	1686577266620	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1686577267008	1686577267008
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1686577267019	1686577267243	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1686577267265	1686577267397	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1686577267401	1686577267419	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1686577267420	1686577267484	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1686577267485	1686577267643	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1686577267644	1686577267811	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1686577267812	1686577267894	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1686577267896	1686577267959	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1686577267961	1686577268100	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1686577268101	1686577268184	OK	 
GROUP	1	XUI_010_Homepage	1686577267012	1686577270812	3720	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1686577270814	1686577271302	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1686577271304	1686577271918	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1686577271919	1686577272036	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1686577315007	1686577315140	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1686577315141	1686577315228	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1686577315229	1686577315347	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1686577315348	1686577315411	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1686577315412	1686577315666	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1686577315667	1686577315743	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1686577315746	1686577315804	OK	 
GROUP	1	XUI_020_Login	1686577270812	1686577315827	44975	OK
REQUEST	1	XUI_PRL_030_CreateCaseStart	XUI_PRL_030_005_CreateCaseStart	1686577315835	1686577318082	OK	 
GROUP	1	XUI_PRL_030_CreateCaseStart	1686577315828	1686577318088	2247	OK
REQUEST	1	XUI_PRL_031_Type_Of_Application	XUI_PRL_031_005_Type_Of_Application	1686577318091	1686577318492	OK	 
GROUP	1	XUI_PRL_031_Type_Of_Application	1686577318088	1686577318493	401	OK
REQUEST	1	XUI_PRL_032_ApplicationCheckYourAnswers	XUI_PRL_032_005_ApplicationCheckYourAnswers	1686577318494	1686577327208	OK	 
GROUP	1	XUI_PRL_032_ApplicationCheckYourAnswers	1686577318493	1686577327239	8714	OK
REQUEST	1	XUI_PRL_033_ApplicationDetails	XUI_PRL_033_005_ApplicationDetails	1686577327240	1686577327413	OK	 
GROUP	1	XUI_PRL_033_ApplicationDetails	1686577327239	1686577327627	385	OK
REQUEST	1	XUI_PRL_034_EnterApplicationDetails	XUI_PRL_034_005_EnterApplicationDetails	1686577327628	1686577327924	KO	substring(applicants).find.exists, found nothing
GROUP	1	XUI_PRL_034_EnterApplicationDetails	1686577327627	1686577327929	296	KO
USER	***** Private Law Create Case *****	1	END	1686577267008	1686577327932
