ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.PRL_Simulation	prl-simulation	1686847079318	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1686847379739	1686847379739
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome	1686847379763	1686847379880	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 1	1686847379891	1686847379989	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 2	1686847379990	1686847380084	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 3	1686847380085	1686847380175	OK	 
GROUP	1	PRL_Citizen_010_PRLHome	1686847379745	1686847380569	599	OK
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login	1686847383893	1686847384172	OK	 
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login Redirect 1	1686847384174	1686847384484	OK	 
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login Redirect 2	1686847384485	1686847389411	OK	 
GROUP	1	PRL_Citizen_020_Login	1686847383890	1686847389813	5910	OK
REQUEST	1	PRL_Citizen_030_C100StartApplication	PRL_Citizen_030_005_C100StartApplication	1686847393912	1686847394090	OK	 
GROUP	1	PRL_Citizen_030_C100StartApplication	1686847393912	1686847394193	277	OK
REQUEST	1	PRL_Citizen_040_StartTheApplicationC100	PRL_Citizen_040_005_StartTheApplicationC100	1686847397911	1686847398001	OK	 
GROUP	1	PRL_Citizen_040_StartTheApplicationC100	1686847397910	1686847398086	173	OK
REQUEST	1	PRL_Citizen_041_Dashboard	PRL_Citizen_041_005_Dashboard	1686847401092	1686847401157	OK	 
REQUEST	1	PRL_Citizen_041_Dashboard	PRL_Citizen_041_005_Dashboard Redirect 1	1686847401157	1686847404052	OK	 
GROUP	1	PRL_Citizen_041_Dashboard	1686847401091	1686847404123	3029	OK
REQUEST	1	PRL_Citizen_042_ActivateAccessCode	PRL_Citizen_042_005_ActivateAccessCode	1686847408982	1686847409090	OK	 
GROUP	1	PRL_Citizen_042_ActivateAccessCode	1686847408981	1686847409170	184	OK
REQUEST	1	PRL_Citizen_043_CaseAdded	PRL_Citizen_043_005_AccessYourCase	1686847413781	1686847415310	OK	 
REQUEST	1	PRL_Citizen_043_CaseAdded	PRL_Citizen_043_005_AccessYourCase Redirect 1	1686847415311	1686847422072	OK	 
GROUP	1	PRL_Citizen_043_CaseAdded	1686847413781	1686847422148	8364	OK
REQUEST	1	PRL_Citizen_044_AccessCodeContinue	PRL_Citizen_044_005_AccessCodeContinue	1686847425332	1686847425525	OK	 
REQUEST	1	PRL_Citizen_044_AccessCodeContinue	PRL_Citizen_044_005_AccessCodeContinue Redirect 1	1686847425526	1686847425861	OK	 
GROUP	1	PRL_Citizen_044_AccessCodeContinue	1686847425331	1686847426039	703	OK
REQUEST	1	PRL_Citizen_045_AccessCase	PRL_Citizen_045_005_AccessCase	1686847429622	1686847430567	OK	 
REQUEST	1	PRL_Citizen_045_AccessCase	PRL_Citizen_045_005_AccessCase Redirect 1	1686847430568	1686847430744	OK	 
GROUP	1	PRL_Citizen_045_AccessCase	1686847429621	1686847430829	1204	OK
GROUP	1	PRL_CitizenC100_010_PRLHome	1686847434582	1686847434582	0	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1686847438282	1686847442136	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1686847442137	1686847442301	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1686847438281	1686847442426	4140	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1686847446831	1686847446880	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1686847446881	1686847447573	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1686847446830	1686847447736	902	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1686847452421	1686847452540	OK	 
